Index,Home Team,Away Team,Home Score,Away Score,Possession (%) (Home),Possession (%) (Away),Total Attempts (Home),Total Attempts (Away),Attacks (Home),Attacks (Away),Corners Taken (Home),Corners Taken (Away),Passing Accuracy (%) (Home),Passing Accuracy (%) (Away),Passes Completed (Home),Passes Completed (Away),Passes Attempted (Home),Passes Attempted (Away),Balls Recovered (Home),Balls Recovered (Away),Offsides (Home),Offsides (Away),Saves (Home),Saves (Away),Yellow Cards (Home),Yellow Cards (Away),Red Cards (Home),Red Cards (Away)
1,Georgia,Luxembourg,2,0,53,47,13,5,47,47,23,2,0,88,84,84,437,334,499,396,48,37,2,0,2,2,4,7,0,1
2,Greece,Kazakhstan,5,0,63,37,21,14,38,24,5,8,84,73,416,210,497,287,36,30,2,0,1,5,0,4,0,0
3,Israel,Iceland,1,4,51,49,10,15,29,28,6,5,82,84,409,328,499,390,36,34,1,0,5,3,1,0,1,0
4,Bosnia and Herzegovina,Ukraine,1,2,38,62,7,12,20,25,4,2,63,77,175,395,279,516,33,36,2,1,4,1,0,0,0
5,Poland,Estonia,5,1,74,26,25,1,64,9,17,1,93,58,649,77,701,133,25,19,1,0,6,1,2,0,1
6,Wales,Finland,4,1,43,57,13,11,25,21,2,3,85,87,328,498,385,570,42,24,5,0,6,4,3,0,0
7,Georgia,Greece,0,0,40,60,16,13,30,34,3,8,76,86,354,686,464,800,44,41,2,2,3,2,5,1,0,0
8,Ukraine,Iceland,2,1,59,41,13,6,46,25,7,2,85,76,446,266,526,349,34,38,1,2,3,2,3,0,0
9,Wales,Poland,0,0,44,56,11,13,43,46,3,6,79,85,399,575,502,674,46,45,1,0,3,3,2,1,0
